,COD_DEPTO,DEPTO,mean_value,std_value,ssp,period,model,crop
0,08,Francisco Morazán,61.580729166666664,9.87124102979539,ssp126,2021_2050,ensemble,beans
0,09,Gracias a Dios,66.0728476821192,25.39909247420512,ssp126,2021_2050,ensemble,beans
0,10,Intibucá,54.2578125,11.001595121383252,ssp126,2021_2050,ensemble,beans
0,12,La Paz,57.74418604651163,4.600773561123774,ssp126,2021_2050,ensemble,beans
0,13,Lempira,60.67045454545455,7.8887457104597765,ssp126,2021_2050,ensemble,beans
0,14,Ocotepeque,62.888888888888886,7.357703613841469,ssp126,2021_2050,ensemble,beans
0,15,Olancho,73.97493403693932,13.436380130506876,ssp126,2021_2050,ensemble,beans
0,16,Santa Bárbara,65.57777777777778,20.56565517651957,ssp126,2021_2050,ensemble,beans
0,17,Valle,52.476190476190474,18.167524787821254,ssp126,2021_2050,ensemble,beans
0,18,Yoro,73.86996904024768,11.38688326652018,ssp126,2021_2050,ensemble,beans
0,01,Atlántida,41.578947368421055,18.335515693158786,ssp126,2021_2050,ensemble,cassava
0,06,Choluteca,48.630057803468205,19.606287138884337,ssp126,2021_2050,ensemble,cassava
0,02,Colon,34.513513513513516,14.801305557746632,ssp126,2021_2050,ensemble,cassava
0,03,Comayagua,41.19897959183673,18.037268645314814,ssp126,2021_2050,ensemble,cassava
0,04,Copán,29.387755102040817,8.766392985763375,ssp126,2021_2050,ensemble,cassava
0,05,Cortés,36.13986013986014,17.573263782816188,ssp126,2021_2050,ensemble,cassava
0,07,El Paraíso,43.61515151515152,14.607192524982056,ssp126,2021_2050,ensemble,cassava
0,08,Francisco Morazán,33.46770025839793,15.789666120912646,ssp126,2021_2050,ensemble,cassava
0,09,Gracias a Dios,42.54635761589404,21.53042287670157,ssp126,2021_2050,ensemble,cassava
0,10,Intibucá,30.614173228346456,14.717843497939311,ssp126,2021_2050,ensemble,cassava
0,12,La Paz,32.58620689655172,15.939938796330338,ssp126,2021_2050,ensemble,cassava
0,13,Lempira,32.11363636363637,13.462010367716104,ssp126,2021_2050,ensemble,cassava
0,14,Ocotepeque,19.6,6.929777643028539,ssp126,2021_2050,ensemble,cassava
0,15,Olancho,37.85620052770449,12.88979704595499,ssp126,2021_2050,ensemble,cassava
0,16,Santa Bárbara,35.973333333333336,5.482027200062238,ssp126,2021_2050,ensemble,cassava
0,17,Valle,59.10344827586207,17.765415506241155,ssp126,2021_2050,ensemble,cassava
0,18,Yoro,35.114197530864196,11.473906883483851,ssp126,2021_2050,ensemble,cassava
0,01,Atlántida,29.945945945945947,18.261779038602338,ssp126,2021_2050,ensemble,coffeearabica
0,06,Choluteca,29.365591397849464,15.431280162253145,ssp126,2021_2050,ensemble,coffeearabica
0,02,Colon,19.364444444444445,10.1971925451307,ssp126,2021_2050,ensemble,coffeearabica
0,03,Comayagua,40.24747474747475,18.4194771936596,ssp126,2021_2050,ensemble,coffeearabica
0,04,Copán,35.26573426573427,15.790565940225262,ssp126,2021_2050,ensemble,coffeearabica
0,05,Cortés,24.692307692307693,16.108127110568148,ssp126,2021_2050,ensemble,coffeearabica
0,07,El Paraíso,37.01823708206687,15.131228459833345,ssp126,2021_2050,ensemble,coffeearabica
0,08,Francisco Morazán,40.15544041450777,18.22887545773747,ssp126,2021_2050,ensemble,coffeearabica
0,09,Gracias a Dios,1.1986754966887416,4.358929128393031,ssp126,2021_2050,ensemble,coffeearabica
0,10,Intibucá,37.8671875,17.427694865926583,ssp126,2021_2050,ensemble,coffeearabica
0,12,La Paz,40.90909090909091,20.91249972213028,ssp126,2021_2050,ensemble,coffeearabica
0,13,Lempira,42.391061452513966,22.225938053027274,ssp126,2021_2050,ensemble,coffeearabica
0,14,Ocotepeque,40.14545454545455,20.58279792078652,ssp126,2021_2050,ensemble,coffeearabica
0,15,Olancho,31.25197889182058,13.397163880529744,ssp126,2021_2050,ensemble,coffeearabica
0,16,Santa Bárbara,28.017777777777777,7.2877153526827865,ssp126,2021_2050,ensemble,coffeearabica
0,17,Valle,31.92063492063492,16.27082459281671,ssp126,2021_2050,ensemble,coffeearabica
0,18,Yoro,33.05555555555556,13.916084485494022,ssp126,2021_2050,ensemble,coffeearabica
0,01,Atlántida,69.51923076923077,7.508944370690876,ssp126,2021_2050,ensemble,maize
0,06,Choluteca,73.41040462427746,14.561780141065913,ssp126,2021_2050,ensemble,maize
0,02,Colon,71.72020725388602,9.154089997788736,ssp126,2021_2050,ensemble,maize
0,03,Comayagua,71.6734693877551,13.137246869503798,ssp126,2021_2050,ensemble,maize
0,04,Copán,73.73103448275862,10.387827871858615,ssp126,2021_2050,ensemble,maize
0,05,Cortés,71.6,15.704776343520464,ssp126,2021_2050,ensemble,maize
0,07,El Paraíso,67.78419452887537,8.382874025941394,ssp126,2021_2050,ensemble,maize
0,08,Francisco Morazán,71.78552971576228,10.52095226705768,ssp126,2021_2050,ensemble,maize
0,09,Gracias a Dios,77.33333333333333,16.306554010694708,ssp126,2021_2050,ensemble,maize
0,10,Intibucá,59.71653543307087,24.691449518717175,ssp126,2021_2050,ensemble,maize
0,12,La Paz,68.48275862068965,16.48605266945053,ssp126,2021_2050,ensemble,maize
0,13,Lempira,73.46022727272727,11.999934088575875,ssp126,2021_2050,ensemble,maize
0,14,Ocotepeque,70.94545454545455,10.38253460352473,ssp126,2021_2050,ensemble,maize
0,15,Olancho,65.37203166226912,16.637255419810405,ssp126,2021_2050,ensemble,maize
0,16,Santa Bárbara,60.60888888888889,27.930038168587696,ssp126,2021_2050,ensemble,maize
0,17,Valle,76.60344827586206,11.146268364534436,ssp126,2021_2050,ensemble,maize
0,18,Yoro,65.6470588235294,14.05845433923319,ssp126,2021_2050,ensemble,maize
0,01,Atlántida,45.945454545454545,20.302635907521672,ssp126,2031_2060,ensemble,banana
0,06,Choluteca,43.494623655913976,21.273752648277306,ssp126,2031_2060,ensemble,banana
0,02,Colon,39.755102040816325,9.378178345031637,ssp126,2031_2060,ensemble,banana
0,03,Comayagua,43.45,16.301150266162203,ssp126,2031_2060,ensemble,banana
0,04,Copán,38.476190476190474,11.336734183622433,ssp126,2031_2060,ensemble,banana
0,05,Cortés,42.091603053435115,16.98515309540937,ssp126,2031_2060,ensemble,banana
0,07,El Paraíso,46.03333333333333,15.697966798797914,ssp126,2031_2060,ensemble,banana
0,08,Francisco Morazán,41.036175710594314,15.552153945725806,ssp126,2031_2060,ensemble,banana
0,09,Gracias a Dios,48.67774086378738,25.499510832633877,ssp126,2031_2060,ensemble,banana
0,10,Intibucá,34.7109375,13.439768613004233,ssp126,2031_2060,ensemble,banana
0,12,La Paz,37.5,12.519984025548915,ssp126,2031_2060,ensemble,banana
0,13,Lempira,39.25698324022346,13.297241863577952,ssp126,2031_2060,ensemble,banana
0,14,Ocotepeque,30.6,12.312004489337005,ssp126,2031_2060,ensemble,banana
0,15,Olancho,39.105540897097626,11.674880953907206,ssp126,2031_2060,ensemble,banana
0,16,Santa Bárbara,39.2,5.43241300999023,ssp126,2031_2060,ensemble,banana
0,17,Valle,49.857142857142854,22.030179259051458,ssp126,2031_2060,ensemble,banana
0,18,Yoro,41.356037151702786,12.03581545412186,ssp126,2031_2060,ensemble,banana
0,01,Atlántida,73.62135922330097,5.456120647625386,ssp126,2031_2060,ensemble,beans
0,06,Choluteca,52.973118279569896,18.628638143824062,ssp126,2031_2060,ensemble,beans
0,02,Colon,68.8411214953271,24.144870213375615,ssp126,2031_2060,ensemble,beans
0,03,Comayagua,70.73333333333333,10.220174451151301,ssp126,2031_2060,ensemble,beans
0,04,Copán,75.45454545454545,8.727199883145879,ssp126,2031_2060,ensemble,beans
0,05,Cortés,73.152,13.43610419727385,ssp126,2031_2060,ensemble,beans
0,07,El Paraíso,71.37423312883436,10.043821706564605,ssp126,2031_2060,ensemble,beans
0,08,Francisco Morazán,61.5703125,9.875540803031688,ssp126,2031_2060,ensemble,beans
0,09,Gracias a Dios,65.45364238410596,25.15257093184278,ssp126,2031_2060,ensemble,beans
0,10,Intibucá,54.25,10.999289749797484,ssp126,2031_2060,ensemble,beans
0,12,La Paz,57.74418604651163,4.600773561123774,ssp126,2031_2060,ensemble,beans
0,13,Lempira,60.67045454545455,7.8887457104597765,ssp126,2031_2060,ensemble,beans
0,14,Ocotepeque,62.888888888888886,7.357703613841469,ssp126,2031_2060,ensemble,beans
0,15,Olancho,73.78364116094987,13.409646684717886,ssp126,2031_2060,ensemble,beans
0,16,Santa Bárbara,65.57777777777778,20.56565517651957,ssp126,2031_2060,ensemble,beans
0,17,Valle,52.285714285714285,18.041775659126248,ssp126,2031_2060,ensemble,beans
0,18,Yoro,73.85448916408669,11.359337751418934,ssp126,2031_2060,ensemble,beans
0,01,Atlántida,41.6140350877193,18.342984113120945,ssp126,2031_2060,ensemble,cassava
0,06,Choluteca,48.641618497109825,19.596180521267037,ssp126,2031_2060,ensemble,cassava
0,02,Colon,34.626126126126124,14.841803705929864,ssp126,2031_2060,ensemble,cassava
0,03,Comayagua,42.08163265306123,18.126074053687137,ssp126,2031_2060,ensemble,cassava
0,04,Copán,30.93877551020408,9.208266391085575,ssp126,2031_2060,ensemble,cassava
0,05,Cortés,36.28671328671329,17.651094927357303,ssp126,2031_2060,ensemble,cassava
0,07,El Paraíso,44.945454545454545,14.843733315200135,ssp126,2031_2060,ensemble,cassava
0,08,Francisco Morazán,34.82945736434109,16.291018132657324,ssp126,2031_2060,ensemble,cassava
0,09,Gracias a Dios,42.59271523178808,21.543649205841092,ssp126,2031_2060,ensemble,cassava
0,10,Intibucá,31.46456692913386,15.019040553349546,ssp126,2031_2060,ensemble,cassava
0,12,La Paz,33.47126436781609,15.813452065171157,ssp126,2031_2060,ensemble,cassava
0,13,Lempira,32.97727272727273,13.430779839884131,ssp126,2031_2060,ensemble,cassava
0,14,Ocotepeque,20.345454545454544,7.266906761772681,ssp126,2031_2060,ensemble,cassava
0,15,Olancho,38.50263852242744,12.719393639971301,ssp126,2031_2060,ensemble,cassava
0,16,Santa Bárbara,36.82222222222222,5.426228028500456,ssp126,2031_2060,ensemble,cassava
0,17,Valle,59.06896551724138,17.770434637501342,ssp126,2031_2060,ensemble,cassava
0,18,Yoro,35.92901234567901,11.241919908186048,ssp126,2031_2060,ensemble,cassava
0,01,Atlántida,29.53153153153153,17.91965040472007,ssp126,2031_2060,ensemble,coffeearabica
0,06,Choluteca,28.602150537634408,15.054481549692325,ssp126,2031_2060,ensemble,coffeearabica
0,02,Colon,18.933333333333334,10.046558282980959,ssp126,2031_2060,ensemble,coffeearabica
0,03,Comayagua,39.85427135678392,18.527553007587876,ssp126,2031_2060,ensemble,coffeearabica
0,04,Copán,35.26573426573427,15.790565940225262,ssp126,2031_2060,ensemble,coffeearabica
0,05,Cortés,24.3986013986014,15.929977835769575,ssp126,2031_2060,ensemble,coffeearabica
0,07,El Paraíso,36.88753799392097,15.079811874070945,ssp126,2031_2060,ensemble,coffeearabica
0,08,Francisco Morazán,40.07253886010363,18.162619537843906,ssp126,2031_2060,ensemble,coffeearabica
0,09,Gracias a Dios,1.304635761589404,4.449858063788123,ssp126,2031_2060,ensemble,coffeearabica
0,10,Intibucá,37.625,17.41003661684834,ssp126,2031_2060,ensemble,coffeearabica
0,12,La Paz,40.60227272727273,20.782170993386305,ssp126,2031_2060,ensemble,coffeearabica
0,13,Lempira,42.33519553072626,22.179043945240206,ssp126,2031_2060,ensemble,coffeearabica
0,14,Ocotepeque,40.14545454545455,20.58279792078652,ssp126,2031_2060,ensemble,coffeearabica
0,15,Olancho,30.972295514511874,13.343958848052878,ssp126,2031_2060,ensemble,coffeearabica
0,16,Santa Bárbara,27.906666666666666,7.28622444525741,ssp126,2031_2060,ensemble,coffeearabica
0,17,Valle,30.11111111111111,15.711800348591613,ssp126,2031_2060,ensemble,coffeearabica
0,18,Yoro,32.94444444444444,13.906322391960275,ssp126,2031_2060,ensemble,coffeearabica
0,01,Atlántida,69.53846153846153,7.513990895096801,ssp126,2031_2060,ensemble,maize
0,06,Choluteca,73.4393063583815,14.563516995029945,ssp126,2031_2060,ensemble,maize
0,02,Colon,71.72020725388602,9.154089997788736,ssp126,2031_2060,ensemble,maize
0,03,Comayagua,71.81122448979592,13.088789272620815,ssp126,2031_2060,ensemble,maize
0,04,Copán,74.31944444444444,8.434924732735533,ssp126,2031_2060,ensemble,maize
0,05,Cortés,71.6,15.704776343520464,ssp126,2031_2060,ensemble,maize
0,07,El Paraíso,67.77811550151975,8.360931441183272,ssp126,2031_2060,ensemble,maize
0,08,Francisco Morazán,71.79069767441861,10.459228892336869,ssp126,2031_2060,ensemble,maize
0,09,Gracias a Dios,77.33333333333333,16.306554010694708,ssp126,2031_2060,ensemble,maize
